nr;ID;latitude;longitude;MAT_chelsa;MAP_chelsa
1;Henry_unpubl.csv;79.164;-75.255;-16;109
2;Wang_2017.csv;70.81666667;147.48333;-13.34166667;211
3;Hollister_2015a.csv;70.45373011;-157.4073879;-11.10833333;138
4;Hollister_2015b.csv;70.45303348;-157.4003018;-11.10833333;138
5;Hollister_2015c.csv;71.31502696;-156.6010247;-10.91666667;117
6;Hollister_2015d.csv;71.31051842;-156.5978987;-10.91666667;117
7;Chapin_1995.csv;68.62;-149.61;-10.21666667;249
8;Gough_2000.csv;68.63;-149.64;-10.10833333;243
9;Blok_2017a.csv;74.47;-20.55;-10.01666667;179
10;Blok_2017b.csv;74.47;-20.55;-10.01666667;179
11;Cooper_2006b.csv;78.1;15.483;-7.2;341
12;Cooper_2006a.csv;78.1;15.483;-7.2;341
13;Kluane_unpubl.csv;61.2;-138.3;-7.033333333;393
14;Ronk_2019a.csv;51.12916667;100.9166667;-6.2;451
15;Ronk_2019b.csv;51.12916667;100.9166667;-6.2;451
16;Shi_2015.csv;34.98333333;97.51667;-3.733333333;328
17;Keuper_2011a.csv;68.21;18.49;-3.608333333;671
18;Rinnan_2007.csv;68.21;18.49;-3.608333333;671
19;Sorensen_2012.csv;68.21;18.49;-3.608333333;671
20;Gugerli_1997.csv;46.47;9.58;-1.908333333;1314
21;Olsen_2014.csv;60.61638889;7.52306;-1.7;1071
22;Farrer_2015.csv;40.05;-105.58333;-1.433333333;501
23;Collins_2022.csv;40.05;-105.58333;-1.433333333;501
24;Rinnan_2009.csv;69.1;20.8;-1.216666667;377
25;Hofgaard_2010.csv;62.18;9.37;0.041666667;438
26;Vandvik_2020a.csv;29.9074;102.0118;1.741666667;959
27;Vandvik_2020b.csv;29.8891;102.0173;3.075;895
28;Yang_2011.csv;42.03333333;116.28333;3.283333333;372
29;Fosaa_2015.csv;62.06944444;-6.956944444;4.183333333;2327
30;Vandvik_2020c.csv;29.8619;102.036;4.241666667;829
31;Vandvik_2020d.csv;29.8435;102.0343;6.016666667;718
32;Welshofer_2018b.csv;45.56;-84.71;6.1;811
33;Britton_2020a.csv;-42.090254;147.087945;7.808333333;713
34;Mueller_2016a.csv;42.83333333;-104.9;7.891666667;419
35;Grime_2008a.csv;53.23333333;-1.9;7.925;1001
36;Buttler_2023.csv;53.186944;18.309444;8.208333333;542
37;Welshofer_2018a.csv;42.4;-85.4;9.2;884
38;Britton_2020b.csv;-42.342775;147.341039;10.49166667;680
39;Reed_2021c.csv;46.89638889;-122.735;11.33333333;1225
40;Reed_2021a.csv;42.27805556;-123.6427778;11.8;1261
41;Reed_2021b.csv;44.02611111;-123.1822222;12.275;1056
42;Collins_2017.csv;34.33333333;-106.71667;14.625;291
