ID.x;latitude;longitude;study;site;SiteBlock;replicate;treatment.direction;treatment.level;grouping.x;treat.duration.y;duration_rescale;size.local;size.gamma;N.replicates;delta.T;delta.T1_rescale;T_warm_chelsa;T_warm_rescale;LRR_S;LRR_SPie;LRR_betaSn;LRR_betaSPie;beta.sim;beta.sne;beta.bray.bal;beta.bray.gra
Gugerli_1997.csv;46.47;9.58;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;1;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";2;-0.545692894;0.8;7.2;9;0.93;-0.432139641;5.85;-0.287093945;0.162518929;-0.377228401;0.170102211;0.200139281;0.176470588;0.066772655;0.361166441;1.92E-09
Gugerli_1997.csv;46.47;9.58;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;2;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";2;-0.545692894;0.8;7.2;9;0.93;-0.432139641;5.85;-0.287093945;0;1.249368965;0.332621141;-1.426458085;0.133333333;0;0.495501576;5.04E-10
Gugerli_1997.csv;46.47;9.58;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;3;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";2;-0.545692894;0.8;7.2;9;0.93;-0.432139641;5.85;-0.287093945;0.405465108;-0.567328357;-0.072843967;0.390239237;0.125;0.175;0.431230742;2.84E-10
Gugerli_1997.csv;46.47;9.58;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;4;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";2;-0.545692894;0.8;7.2;9;0.93;-0.432139641;5.85;-0.287093945;0.182321557;-0.619159183;0.150299584;0.442070063;0.133333333;0.078787879;0.691202014;1.24E-09
Gugerli_1997.csv;46.47;9.58;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;5;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";2;-0.545692894;0.8;7.2;9;0.93;-0.432139641;5.85;-0.287093945;0.271933715;-1.094570858;0.060687425;0.917481738;0.1875;0.109797297;0.630925207;3.69E-10
Gugerli_1997.csv;46.47;9.58;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;6;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";2;-0.545692894;0.8;7.2;9;0.93;-0.432139641;5.85;-0.287093945;0.405465108;-0.646064887;-0.072843967;0.468975768;0.083333333;0.183333333;0.361640112;1.60E-09
Gugerli_1997.csv;46.47;9.58;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;7;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";2;-0.545692894;0.8;7.2;9;0.93;-0.432139641;5.85;-0.287093945;0.057158414;-1.468757732;0.275462727;1.291668612;0.058823529;0.026890756;0.625119635;1.87E-10
Gugerli_1997.csv;46.47;9.58;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;8;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";2;-0.545692894;0.8;7.2;9;0.93;-0.432139641;5.85;-0.287093945;-0.15415068;1.671667182;0.486771821;-1.848756302;0.166666667;0.064102564;0.815258953;9.24E-11
Gugerli_1997.csv;46.47;9.58;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;9;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";2;-0.545692894;0.8;7.2;9;0.93;-0.432139641;5.85;-0.287093945;0.302280872;-1.271292911;0.030340269;1.094203792;0.176470588;0.123529412;0.822734884;3.55E-10
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;1;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;0.318453731;-0.001452436;-0.103608983;-0.101479416;0.375;0.098684211;0.367647059;6.32E-10
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;10;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;0.223143551;0.884746529;-0.008298803;-0.987678382;0.125;0.097222222;0.445327603;5.55E-10
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;2;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;0.356674944;-0.546233122;-0.141830195;0.44330127;0.428571429;0.100840336;0.837581699;0
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;3;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;0.693147181;0.251379051;-0.478302432;-0.354310903;0.333333333;0.222222222;0.66767715;0
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;4;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;-0.117783036;-0.484783328;0.332627784;0.381851476;0.5;0.029411765;0.430313588;2.85E-10
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;5;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;0.251314428;-0.415416218;-0.03646968;0.312484366;0.142857143;0.107142857;0.494652406;2.53E-10
