ID.x;latitude;longitude;study;site;SiteBlock;replicate;treatment.direction;treatment.level;grouping.x;treat.duration.y;duration_rescale;size.local;size.gamma;N.replicates;delta.T;delta.T1_rescale;T_warm_chelsa;T_warm_rescale;LRR_gammaSn;LRR_gammaSPie
Gugerli_1997.csv;46.47;9.58;ITEX_6;VALBERCLA_ALPINE;VALBERCLA_ALPINE - A;1;T;1;"1996_Gugerli_1997;VALBERCLA_ALPINE;T;T;1;1996;2";2;-0.545692894;0.8;7.2;9;0.93;-0.432139641;5.85;-0.287093945;0.332621141;-0.177089119
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;1;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;0.214844748;-0.102931852
Chapin_1995.csv;68.62;-149.61;Arctic_LTER;MAT;MAT - A;1;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";10;-0.063436361;0.16;1.28;8;5;1.150093336;8.65;-0.004489052;-0.124562723;-0.049083951
Gough_2000.csv;68.63;-149.64;Arctic_LTER_1;MNT;MNT - A;1;T;1;"2000_Gough_2000;MNT;T;T;1;2000;2";3;-0.485410828;1;6;6;5;1.150093336;8.75;0.00560398;-0.08122544;0.024394641
Cooper_2006b.csv;78.1;15.483;ITEX_4;SADVENT_WET_PHOTO;SADVENT_WET_PHOTO - A;1;T;1;"2005_Cooper_2006b;SADVENT_WET_PHOTO;T;T;1;2005;2";3;-0.485410828;0.5625;2.8125;5;1.5;-0.210549273;3.35;-0.539419742;0.384073918;-0.135734991
Kluane_unpubl.csv;61.2;-138.3;ITEX_3;KLUANE_PIKA;KLUANE_PIKA - A;1;T;1;"2007_Hik_unpubl;KLUANE_PIKA;T;T;1;2007;2";10;-0.063436361;0.25;2;8;1.5;-0.210549273;5.55;-0.31737304;0.390197636;-0.184732271
Blok_2017a.csv;74.47;-20.55;ITEX_10;ZACKENBERG_CASSIOPE_SITE;ZACKENBERG_CASSIOPE_SITE - A;1;T;1;"2008_Blok_2017a;ZACKENBERG_CASSIOPE_SITE;T;T;1;2008;2";4;-0.425128761;1;5;5;1.5;-0.210549273;2.55;-0.620163997;-0.171850257;0.004444566
Blok_2017b.csv;74.47;-20.55;ITEX_10;ZACKENBERG_SALIX_SITE;ZACKENBERG_SALIX_SITE - A;1;T;1;"2008_Blok_2017b;ZACKENBERG_SALIX_SITE;T;T;1;2008;2";4;-0.425128761;1;5;5;1.5;-0.210549273;2.55;-0.620163997;0.103184236;-0.049581707
Cooper_2006a.csv;78.1;15.483;ITEX_4;SADVENT_MES_PHOTO;SADVENT_MES_PHOTO - A;1;T;1;"2008_Cooper_2006a;SADVENT_MES_PHOTO;T;T;1;2005;2";3;-0.485410828;0.5625;2.8125;5;1.5;-0.210549273;3.35;-0.539419742;0;-0.016842278
Fosaa_2015.csv;62.06944444;-6.956944444;ITEX_2;FAROE_SORNFELLI;FAROE_SORNFELLI - A;1;T;1;"2008_Forsaa_2015;FAROE_SORNFELLI;T;T;1;2008;2";6;-0.304564628;0.25;2.5;10;0.771;-0.493951691;7.85;-0.085233307;0.355340721;-0.158102323
Hofgaard_2010.csv;62.18;9.37;ITEX_1;DOVRE_KUNTSHOE;DOVRE_KUNTSHOE - A;1;T;1;"2008_Hofgaard_2010;DOVRE_KUNTSHOE;T;T;1;2008;2";10;-0.063436361;0.25;2.5;10;1.5;-0.210549273;9.95;0.126720362;0.026787316;0.016538718
Keuper_2011a.csv;68.21;18.49;ITEX_9;ABISKO_PEATLAND;ABISKO_PEATLAND - A;1;T;1;"2008_Keuper_2011a;ABISKO_PEATLAND;T;T;1;2008;2";8;-0.184000494;0.25;1.25;5;0.55;-0.579866552;7.05;-0.165977562;0.083381609;-0.046881288
Rinnan_2007.csv;68.21;18.49;ITEX_8;ABISKO_ABISKOWET;ABISKO_ABISKOWET - A;1;T;1;"2008_Rinnan_2007;ABISKO_ABISKOWET;T;T;1;2008;2";10;-0.063436361;1.25;6.25;5;3.9;0.722462802;7.05;-0.165977562;0.086473598;-0.025626769
Rinnan_2009.csv;69.1;20.8;ITEX_12;KILPISJARVI_KILPISJARVI;KILPISJARVI_KILPISJARVI - A;1;T;1;"2008_Rinnan_2009;KILPISJARVI_KILPISJARVI;T;T;1;2008;2";15;0.237973973;0.25;1.5;6;1.2;-0.327175782;10.05;0.136813394;0;-0.069964046
Sorensen_2012.csv;68.21;18.49;ITEX_7;ABISKO_ABISKODRY;ABISKO_ABISKODRY - A;1;T;1;"2008_Sorensen_2012;ABISKO_ABISKODRY;T;T;1;2008;2";20;0.539384306;0.25;1.5;6;3.9;0.722462802;7.05;-0.165977562;-0.239363495;0.045262413
Grime_2008a.csv;53.23333333;-1.9;Grime_2008;Buxton;Buxton - A;1;T;1;"2009_Grime_2008a;Buxton;T;T;1;2009;2";16;0.298256039;2.5;12.5;5;3;0.372583274;13.55;0.49006951;-0.043919234;0.010685088
Yang_2011.csv;42.03333333;116.28333;Yang_2011;Duolun.County;Duolun.County - A;1;T;1;"2009_Yang_2011;Duolun.County;T;T;1;2009;2";4;-0.425128761;1;6;6;0.98;-0.412701889;18.75;1.014907168;-0.16507975;0.060701288
Olsen_2014.csv;60.61638889;7.52306;Olsen_2014;Finse;Finse - B;1;T;1;"2012_Olsen_2014;Finse;T;T;1;2012;2";12;0.057127772;0.6;3;5;1.5;-0.210549273;7.35;-0.135698466;-0.022090958;0.00186723
Ronk_2019a.csv;51.12916667;100.9166667;Ronk_2019;L;L - A;1;T;1;"2012_Ronk_2019a;L;T;T;1;2012;2";4;-0.425128761;0.5;4;8;1.5;-0.210549273;8.85;0.015697012;0.053885088;-0.033968637
Ronk_2019b.csv;51.12916667;100.9166667;Ronk_2019;U;U - A;1;T;1;"2012_Ronk_2019b;U;T;T;1;2012;2";4;-0.425128761;0.5;3.5;7;1.5;-0.210549273;8.85;0.015697012;-0.067950662;-0.250345728
Mueller_2016a.csv;42.83333333;-104.9;Mueller_2016;Cheyenne;Cheyenne - A;1;T;1;"2013_Mueller_2016a;Cheyenne;T;T;1;2013;2";7;-0.244282561;1.5;7.5;5;1.5;-0.210549273;20.15;1.156209614;0.100643526;-0.018333138
Shi_2015.csv;34.98333333;97.51667;Shi_etal_2015;Kessler.Farm.Field.Laboratory;Kessler.Farm.Field.Laboratory - A;1;T;1;"2013_Shi_2015;Kessler.Farm.Field.Laboratory;T;T;1;2013;2";13;0.117409839;1;6;6;4;0.761338305;6.95;-0.176070594;-0.17538912;0.043899299
Wang_2017.csv;70.81666667;147.48333;Wang_2017;Chokurdakh;Chokurdakh - A;1;T;1;"2013_Wang_2017;Chokurdakh;T;T;1;2013;2";3;-0.485410828;0.25;1.25;5;0.7;-0.521553298;7.75;-0.095326339;0.050010421;0.002781811
Buttler_2023.csv;53.186944;18.309444;Buttler_2023;Linje;Linje - A;1;T;1;"2014_Buttler_2023;Linje;T;T;1;2014;2";2;-0.545692894;0.16;0.48;3;1.27;-0.29996293;17.25;0.86351169;0.287682072;-0.129591612
Collins_2017.csv;34.33333333;-106.71667;Collins_2017;SNWR;SNWR - A;1;T;1;"2016_2_Collins_2017;SNWR;T;T;1;2016;2";10;-0.063436361;1;5;5;1.1;-0.366051285;24.85;1.630582113;-0.011049836;0.036467272
Britton_2020a.csv;-42.090254;147.087945;Britton_2020;sp;sp - A;1;T;1;"2016_Britton_2020a;sp;T;T;1;2016;2";1;-0.605974961;1;8;8;3.33;0.500872434;11.75;0.308394936;0.05579136;-0.241205756
Britton_2020b.csv;-42.342775;147.341039;Britton_2020;oat;oat - B;2;T;1;"2016_Britton_2020b;oat;T;T;1;2016;2";1;-0.605974961;1;8;8;3.33;0.500872434;14.25;0.560720733;0.15535044;-0.004628337
Farrer_2015.csv;40.05;-105.58333;Farrer_2015;Niwot.Ridge;Niwot.Ridge - A;1;T;1;"2016_Farrer_2015;Niwot.Ridge;T;T;1;2016;2";10;-0.063436361;1;6;6;1;-0.404926788;10.05;0.136813394;-0.184991785;0.075426591
